Python游戏编程入门   , 41.00
Python与数据科学   , 38.20
Python 黑帽子：黑客与渗透测试编程之道  安全畅销书《Python灰帽子》同作者姊妹篇 知道创宇余弦、腾讯胡珀及Keen、蓝莲花等知名黑客战队联合作序盛赞 , 43.40
Python程序设计（第2版）  继《Python程序设计》和《Python程序设计基础》之后又一巨作，资深Python爱好者董付国老师倾情奉献，全书超过1000个代码片段和200个以上涉及各行业领域的综合案例，结合作者15年教学与开 , 44.10
Python编程实战：运用设计模式、并发和程序库创建高质量程序（全球资深Python专家Doug Hellmann作序推荐，以3个完整的案例展示“设计-实现-优化”的全过程）   , 54.90
Python袖珍指南（第五版）  Pyhon培训的世界领导者力作，完美的Python语言快速参考 , 30.90
程序设计导论：Python语言实践   , 67.20
树莓派Python编程指南   , 48.70
计算机编程导论――Python程序设计   , 41.70
Python 3 基础教程   , 34.50
计算机科学导论――以Python为舟（第2版）  国家千人、长江学者沙教授心血之作。在Python语言的系统学习中，融合计算机领域各类知识，贯穿计算机科学之精髓。行文生动活泼，兼具人文思考。 , 44.10
Python语言程序设计   , 32.40
Python基础教程  python基础指南，不可错过的编程实践宝典 , 38.30
Python语言程序设计（英文版,作者全新编写针对Python程序设计的权威教材）   , 61.70
Python程序设计  本书是学习Python程序设计非常实用的教材，案例丰富，深入浅出！ , 33.20
计算机科学导论――以Python为舟   , 37.10
算法与程序设计基础 Python版  21世纪高等学校计算机基础实用规划教材    , 33.20
Python和Pygame游戏开发指南   , 47.60
Python编程基础  如何使用Python解决实际问题,答案在这里 , 41.80
Abaqus GUI程序开发指南 Python语言  Abaqus GUI程序开发实用教程，全彩印刷，提供配套程序源代码及CAE模型供读者下载学习使用 , 49.10
Python程序设计   , 64.50
面向设计师的编程设计知识系统PADKS--ArcGIS下的Python编程  基于ArcGIS的Python编程,辅助规划设计无限拓展的途径！ , 108.80
Python高手之路  作者开发OpenStack这个大规模项目时的经验总结，关注如何利用Python有效地解决问题以及如何构建良好的Python应用程序 , 41.00
Maya Python 游戏与影视编程指南  Python和Maya的基础知识 使用Python设计Maya工具 Maya Python API基础 , 75.10
Python程序设计基础  陕西普通高校精品课程配套教材。面向初、中级读者，内容精练，实训题目经典实用、综合性强，着重提高编程应用开发能力。被多所高校用作教材 , 22.50
Python硬件编程实战   , 41.60
