000070.SZ,特发信息,0.2400,0.1677,0.0077,0.0200,0.0194,-0.6742,0.0077,0.0442,0.1417,0.1653,0.2510,0.1471,0.1900,0.2283,0.2051,0.3349
000078.SZ,海王生物,0.4000,0.3600,0.1300,0.0300,0.0700,-2.2300,0.0464,0.0505,0.0372,0.0217,0.0715,0.0805,0.0905,0.1644,0.0325,0.6488
000088.SZ,盐田港,0.1610,0.6430,0.9500,1.3220,0.5397,0.5500,0.5671,0.5188,0.4602,0.3696,0.3295,0.2854,0.2111,0.2000,0.2265,0.2243
000089.SZ,深圳机场,0.6840,0.6720,0.4003,0.3102,0.3230,0.4527,0.2836,0.3405,0.1448,0.3402,0.4225,0.3889,0.3428,0.2971,0.1584,0.2739
000090.SZ,天健集团,0.4350,0.4170,0.3070,0.2400,0.1930,0.2930,0.5202,0.5692,-0.3771,0.1264,0.2426,0.4450,0.4980,0.6849,0.7628,0.7108
000096.SZ,广聚能源,0.2500,0.2648,0.3400,0.2642,0.2870,0.1335,0.2500,0.4400,0.2500,0.2100,0.1600,0.1800,0.0400,0.1300,0.0800,0.2800
000099.SZ,中信海直,0.3184,0.3127,0.2636,0.3431,0.1623,0.1774,0.1392,0.1654,0.1811,0.2177,0.2396,0.2705,0.2781,0.3711,0.3495,0.2795
000100.SZ,TCL集团,,,0.2700,0.3584,0.1222,-0.1238,-0.7196,0.1530,0.1938,0.1667,0.1243,0.1195,0.0939,0.2484,0.3480,0.2141
000150.SZ,宜华健康,0.2860,0.0055,-0.1697,-0.2857,0.0320,-0.2898,-0.1200,0.3500,0.2500,0.3100,0.0300,0.0243,0.0100,0.2800,0.0900,0.1200
000151.SZ,中成股份,0.4200,0.3000,0.1600,0.1400,0.1700,0.1570,0.1640,0.1360,0.1430,0.0970,0.0270,-0.0370,0.1480,0.3146,0.3831,0.4547
000153.SZ,丰原药业,0.5680,0.3810,0.3970,0.1394,0.0738,0.0347,0.0900,0.0217,0.0546,0.0884,0.1601,0.0381,0.0731,0.0914,0.1313,0.1038
000156.SZ,华数传媒,0.3100,,0.2946,-0.3700,-3.0465,-6.9200,-0.7000,0.0600,0.1600,0.7100,1.5500,0.8785,0.1700,0.2300,0.3300,0.4000
000157.SZ,中联重科,0.4671,0.3508,0.3941,0.5917,0.7551,0.6124,0.6344,1.7536,1.0318,1.4180,0.9700,1.0500,0.9500,0.5000,0.0800,0.0100
000158.SZ,常山股份,0.2700,0.2000,0.2100,0.1800,0.0900,0.0900,0.1200,0.1200,0.1700,0.1000,0.0800,0.0800,0.0200,0.0240,0.0338,0.2400
000159.SZ,国际实业,0.2157,0.1450,0.0107,,0.0113,0.0299,-0.0100,0.2990,0.6300,0.6300,1.3500,0.6800,0.2079,0.0739,0.2682,0.1164
000166.SZ,申万宏源,,,,,,,,,,,,,,,0.5100,0.8200
000301.SZ,东方市场,0.2650,0.2257,0.1779,0.1748,-0.0986,0.0650,0.1583,0.1193,0.1398,0.0800,0.0600,0.0900,0.1300,0.2700,0.1800,0.1371
000333.SZ,美的集团,,,,,,,,,,,,,3.2600,4.3300,2.4900,2.9900
000338.SZ,潍柴动力,,,,1.2700,1.7500,0.9300,2.2500,4.4200,2.3200,4.0900,4.0700,3.3600,1.5000,1.7900,2.5100,0.3500
000400.SZ,许继电气,0.5320,0.4520,0.3997,0.4462,0.3800,0.3089,0.3430,0.3066,0.1010,0.3442,0.3877,0.4137,0.8777,1.0634,1.0573,0.7147
000401.SZ,冀东水泥,0.1113,0.1303,0.1200,0.1670,0.1506,0.1327,0.2180,0.3820,0.4100,0.8113,1.1530,1.2350,0.1340,0.2560,0.0260,-1.2730
000402.SZ,金融街,0.3200,1.2000,1.2600,0.7000,0.8400,0.6700,0.6000,0.6800,0.4300,0.5500,0.5900,0.6700,0.7500,0.9600,0.9700,0.7500
000404.SZ,华意压缩,0.1400,0.0036,0.0043,-0.4600,0.0300,-0.5472,0.0300,0.0200,0.0808,0.2688,0.0588,0.0943,0.3172,0.2985,0.3345,0.3894
000407.SZ,胜利股份,0.1800,0.1400,0.0800,0.1200,0.0600,0.0800,0.1300,0.0600,0.5700,0.4100,0.5000,0.0100,-0.2200,0.0300,0.0500,0.0400
000409.SZ,山东地矿,0.0400,-0.1230,-0.3020,-0.3900,0.0340,0.0400,-0.2277,-0.1530,0.0161,-0.0807,-0.0330,0.0327,0.2700,0.2700,-0.0662,0.2060
000410.SZ,沈阳机床,0.0470,0.0498,0.0130,0.0300,0.1700,0.2800,0.2100,0.1400,0.0400,0.0500,0.2597,0.1900,0.0400,0.0283,0.0334,-0.8335
000411.SZ,英特集团,-0.6390,0.0820,0.0090,,0.0040,0.0500,0.0700,0.1260,0.0920,0.1500,0.2000,0.9000,0.3300,0.3600,0.3200,0.3300
000413.SZ,东旭光电,0.2190,0.1030,0.0760,0.0600,0.0700,-0.9500,-0.1600,0.0300,0.0100,-0.0800,0.0040,0.0310,0.3700,0.5100,0.3300,0.4800
000415.SZ,渤海金控,0.2000,0.1240,0.0060,-0.3617,0.0410,0.0069,0.0535,0.0438,-0.2864,-0.2857,0.0101,0.4311,0.3876,0.8300,0.5500,0.3700
000416.SZ,民生控股,-0.2100,0.3150,0.8480,0.5230,0.3350,0.1180,0.0159,0.0078,-0.0228,0.1228,0.0269,0.0600,0.1104,0.0084,0.1653,0.0401
000417.SZ,合肥百货,0.6490,0.4788,0.1932,0.1646,0.1618,0.1757,0.1289,0.2714,0.3260,0.4186,0.5956,1.0029,0.5243,0.5613,0.4693,0.3364
000418.SZ,小天鹅A,0.5155,0.0735,-1.1461,0.0986,0.1069,0.1100,0.0900,0.9131,0.0731,0.4100,0.8000,0.7200,0.5400,0.6500,1.1000,1.4500
000419.SZ,通程控股,0.2100,0.1104,0.1233,,0.1331,0.1981,0.3005,0.3057,0.1103,0.1619,0.3002,0.5018,0.2858,0.2791,0.2634,0.1884
000420.SZ,吉林化纤,0.1400,-0.2609,,0.1400,0.1873,0.0826,0.0600,0.2106,-0.9514,0.0467,-0.2088,-0.7772,0.0262,-1.0404,0.0501,0.0201
000421.SZ,南京公用,0.1340,0.1350,0.1430,0.1590,,-0.4420,0.2052,0.2584,0.1480,0.1448,0.1662,0.2520,0.2661,0.1891,0.4673,0.3984
000422.SZ,湖北宜化,0.2110,0.2091,0.2377,0.3058,0.5337,0.6156,0.4060,0.7160,0.4860,0.4380,1.0560,1.5080,0.9650,0.0760,0.0350,0.0390
000423.SZ,东阿阿胶,0.4650,0.4020,0.3190,0.3600,0.3200,0.2700,0.2840,0.3929,0.5480,0.6784,0.8902,1.3091,1.5905,1.8392,2.0879,2.4847
