000016.SZ, 深康佳A, 2007, 0.3475
000016.SZ, 深康佳A, 2008, 0.2083
000016.SZ, 深康佳A, 2009, 0.1255
000016.SZ, 深康佳A, 2010, 0.0697
000016.SZ, 深康佳A, 2011, 0.0207
000016.SZ, 深康佳A, 2012, 0.0381
000016.SZ, 深康佳A, 2013, 0.0375
000016.SZ, 深康佳A, 2014, 0.0437
000016.SZ, 深康佳A, 2015, -0.5219

000017.SZ, 深中华A, 2000, -0.3710
000017.SZ, 深中华A, 2001, -4.7080
000017.SZ, 深中华A, 2002, 0.0137
000017.SZ, 深中华A, 2003, -0.0687
000017.SZ, 深中华A, 2004, -0.0360
000017.SZ, 深中华A, 2005, 0.0100
000017.SZ, 深中华A, 2006, -0.0251
000017.SZ, 深中华A, 2007, 0.1315
000017.SZ, 深中华A, 2008, -0.0936
000017.SZ, 深中华A, 2009, -0.2206
000017.SZ, 深中华A, 2010, 0.1169
000017.SZ, 深中华A, 2011, 0.0720
000017.SZ, 深中华A, 2012, -0.0951
000017.SZ, 深中华A, 2013, 2.8570
000017.SZ, 深中华A, 2014, 0.0089
000017.SZ, 深中华A, 2015, -0.0003

000018.SZ, 神州长城, 2000, 0.0300
000018.SZ, 神州长城, 2001, 0.0050
000018.SZ, 神州长城, 2002, 0.0080
000018.SZ, 神州长城, 2003, 
000018.SZ, 神州长城, 2004, 0.0052
000018.SZ, 神州长城, 2005, -0.2210
000018.SZ, 神州长城, 2006, 0.1700
000018.SZ, 神州长城, 2007, -0.6900
000018.SZ, 神州长城, 2008, -0.1500
000018.SZ, 神州长城, 2009, 0.0700
000018.SZ, 神州长城, 2010, 0.0200
000018.SZ, 神州长城, 2011, -0.1000
000018.SZ, 神州长城, 2012, -0.0015
000018.SZ, 神州长城, 2013, 0.0486
000018.SZ, 神州长城, 2014, 0.0254
000018.SZ, 神州长城, 2015, 1.5000

000019.SZ, 深深宝A, 2000, 0.0640
000019.SZ, 深深宝A, 2001, 0.0630
000019.SZ, 深深宝A, 2002, 0.0590
000019.SZ, 深深宝A, 2003, -0.2470
000019.SZ, 深深宝A, 2004, 0.0240
000019.SZ, 深深宝A, 2005, 0.0300
000019.SZ, 深深宝A, 2006, 0.1900
000019.SZ, 深深宝A, 2007, 0.2400
000019.SZ, 深深宝A, 2008, 0.0700
000019.SZ, 深深宝A, 2009, -0.0700
000019.SZ, 深深宝A, 2010, 0.0310
000019.SZ, 深深宝A, 2011, 0.0323
000019.SZ, 深深宝A, 2012, 0.2970
000019.SZ, 深深宝A, 2013, 0.1740
000019.SZ, 深深宝A, 2014, 0.0443
000019.SZ, 深深宝A, 2015, -0.1171

000020.SZ, 深华发A, 2000, 0.0100
000020.SZ, 深华发A, 2001, 0.0108
000020.SZ, 深华发A, 2002, 0.0189
000020.SZ, 深华发A, 2003, -0.0300
000020.SZ, 深华发A, 2004, -0.1566
000020.SZ, 深华发A, 2005, 0.0234
000020.SZ, 深华发A, 2006, -0.0822
000020.SZ, 深华发A, 2007, 0.0779
000020.SZ, 深华发A, 2008, 0.0267
000020.SZ, 深华发A, 2009, 0.0147
000020.SZ, 深华发A, 2010, 0.0324
000020.SZ, 深华发A, 2011, 0.0366
000020.SZ, 深华发A, 2012, 0.0115
000020.SZ, 深华发A, 2013, -0.0230
